Chr	Start	End	geneID	ratio	pval	localDeviation
17	7830903	7831212	 KCNAB3;RP11-1099M24.7	-0.216405091724302	0.786621440964746	1.96600905632596
17	7832420	7832780	 KCNAB3;RP11-1099M24.7	-0.0159097105413017	0.984122023544923	1.74780058687187
17	29557811	29557991	 NF1	-0.731180329360937	0.360385308472018	3.88745467993368
17	29560005	29560245	 NF1	-0.155924475113084	0.845357384980098	2.24913162195981
17	29661624	29661804	 NF1	-0.23745606108531	0.766441294631455	2.52518941474945
17	29663642	29663942	 NF1	-0.173074377441704	0.828599439921734	2.20579151844879
17	29664372	29664612	 NF1	-0.389822559071123	0.625813506666317	2.76492704071137
17	29664968	29665208	 NF1	-0.835131996842335	0.29617831562202	3.60935364989598
17	29683922	29684162	 NF1	-0.444115524475135	0.578523520064802	2.14737316784402
17	41196296	41196896	 BRCA1	-1.47695982534753	0.0646711869483867	3.05213951705089
17	41198718	41199158	 BRCA1	-0.80862415692818	0.311774612308014	2.0548273895579
17	41202606	41203686	 BRCA1	-0.380318853463223	0.63425987904575	1.62184625899608
17	41203949	41204369	 BRCA1	-0.323168333800919	0.686028716861456	1.5444638265774
17	41205107	41205407	 BRCA1	-0.208192567136785	0.794534097512145	1.4509449116935
17	41207560	41207680	 BRCA1	1.22183143749001	0.126416968258644	0.665373810923255
17	41212789	41212909	 BRCA1	2.18346061203921	0.00630881013855444	4.68633481444796
17	41217058	41217418	 BRCA1	-0.452513964836346	0.571360967211635	2.4513670339628
17	41219509	41220031	 BRCA1	-1.02620350347695	0.199255808020129	3.57101930875335
17	41222257	41223757	 BRCA1	-0.351480273410554	0.660179357824953	1.99928294980308
17	41224835	41225788	 BRCA1	-0.853812724708973	0.28550625569123	3.68823111112523
17	41229442	41229562	 BRCA1	-3.61961668630078	5.96102772966635e-06	16.7506479833385
17	41232499	41232689	 BRCA1	2.0265564356461	0.011244316619921	7.25117722911074
17	41232699	41235219	 BRCA1	-0.152691799003785	0.848524274840647	1.50950016174524
17	41237344	41239421	 BRCA1	-0.189486680798863	0.812634849062102	2.10211485567735
17	41241154	41241274	 BRCA1	-1.01802761611969	0.202859295721944	5.02888761566164
17	41241349	41241529	 BRCA1	-2.30496120801189	0.00393571692112103	9.99198119723724
17	41247604	41248084	 BRCA1	-0.405444148004238	0.612036393607807	2.42527284653437
17	41251139	41251319	 BRCA1	-0.610301566410999	0.445210406668109	2.2296511073557
17	41251549	41252389	 BRCA1	-0.553047241360684	0.489059781059325	2.08546868950681
17	41252998	41253238	 BRCA1	-0.378596469802866	0.635795793941488	1.56308316801915
17	41253496	41253616	 BRCA1	1.43733978598078	0.072182754372921	2.03292914297884
17	41254230	41254350	 BRCA1	-2.00369948230918	0.0121960215145483	4.78119747186664
17	41255469	41255889	 BRCA1	-1.01786735851343	0.202930399845175	2.8290009437914
17	41256049	41257909	 BRCA1	-0.187906639362028	0.814168517975863	1.18546915449671
17	41258067	41259087	 BRCA1	-0.683925770159516	0.392263028946084	2.16771227848157
17	41259359	41259479	 BRCA1	-1.23973625696291	0.120953907837869	3.27514574880471
17	41259646	41260126	 BRCA1	-0.446655459062228	0.576352906701482	1.8388790573107
17	41263098	41263338	 BRCA1	-1.19801288792121	0.133979902073525	2.8349409519889
17	41263857	41264097	 BRCA1	-2.84079061584383	0.000380089331504513	5.14112299600126
17	41264366	41264846	 BRCA1	-2.15744507823179	0.00696022916338898	4.14186672749335
17	41265037	41265868	 BRCA1	-1.26968510087962	0.112230942492307	3.55508578427454
17	41266172	41267252	 BRCA1	-1.85239297686536	0.0204954289170905	4.43356908545042
17	41267533	41268553	 BRCA1	-0.838760018183183	0.294085056083852	2.70803430315303
17	41268843	41269143	 BRCA1	-1.61018372047063	0.0439913038372374	4.0212497217955
17	41269639	41270419	 BRCA1	-1.50588674170413	0.0596043611605811	3.84370215587568
17	41270543	41272508	 BRCA1	-1.55386574490581	0.0519285392973715	4.00962981717664
17	41272789	41272909	 BRCA1	-4.28167306341163	8.51169271733808e-08	6.56377509777939
17	41273696	41274762	 BRCA1	-1.00357235678847	0.20934612590048	2.46320941551597
17	41275056	41275409	 BRCA1	0.329350224828477	0.680351779417179	0.79586082422672
17	41276985	41279383	 BRCA1;NBR2	-0.925702207196684	0.246881205794326	2.36580189461716
